# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,5.318903369398188,4.284222345166781,-7.898295101156314,0,4.0,-3.2160659514427365,-0.9877603996398037,0.0,0.0023237384910188745
 0.016781020991337613,5.319461231911471,4.28414495226551,-7.898295101156314,0.06712408396535044,3.999999999999999,-3.2160659514427365,-0.9877214049354075,-14.958894761104347,0.016906560429411892
 0.02370010757676972,5.320015962652683,4.284066972202152,-8.001796989230762,0.09480043030707885,3.999999999999998,-3.079310319551761,-0.9876044269799346,-18.636948077661728,0.03684732833490167
 0.028990660330074747,5.320567926607213,4.283988412198883,-8.100396746196237,0.11596264132029895,3.9999999999999973,-2.9309942803232985,-0.9874094842455604,-21.010969870288925,0.061362735002769474
 0.033437605687801825,5.321117488760452,4.2839092794778795,-8.193831381122262,0.13375042275120727,4.0000000000000036,-2.7717478524765427,-0.9871366075160024,-22.521511031483456,0.08974802949179782
 0.037345965975255246,5.321665014097789,4.283829581261314,-8.281853560451156,0.14938386390102099,4.000000000000007,-2.6023148597279335,-0.9867858398816595,-23.358343732404215,0.1215278384064322
 0.04087275584062476,5.322210867604615,4.283749324771362,-8.364233530398417,0.16349102336249904,4.0,-2.4235461217448826,-0.9863572367328074,-23.627679859723084,0.15634105493603198
 0.04411164265869491,5.322755414266318,4.283668517230201,-8.440760911237655,0.17644657063477964,4.0,-2.236390467762084,-0.9858508657508519,-23.399188115160754,0.19389120225335515
 0.04712394464260704,5.3232990190682905,4.283587165860006,-8.511246332018887,0.18849577857042815,4.0,-2.0418839404766924,-0.985266806897641,-22.724349966282187,0.2339215175739144
 0.049952476629169,5.32384204699592,4.28350527788295,-8.575522882772345,0.199809906516676,4.0,-1.841137211056783,-0.9846051524028381,-21.64499781259468,0.27620112643792183
 0.05262859045611888,5.324384863034596,4.283422860521211,-8.63344736070293,0.21051436182447553,4.0,-1.6353217182610078,-0.9838660067493584,-20.197731024825657,0.3205168567891795
 0.055176101063421315,5.32492783216971,4.283339920996963,-8.684901294732114,0.2207044042536853,4.000000000000011,-1.4256545200467776,-0.9830494866568688,-18.41634406349678,0.36666819535548567
 0.05761363342873838,5.32547131938665,4.2832564665323805,-8.729791729437702,0.23045453371495356,4.0,-1.2133823885184958,-0.9821557210633574,-16.33319618554084,0.41446411893508844
 0.05995610389657941,5.326015689670808,4.283172504349641,-8.768051759147786,0.23982441558631767,4.0,-0.9997655816327805,-0.9811848511047722,-13.979972763414304,0.46372110399342004
 0.06221569700764165,5.326561308007573,4.2830880416709185,-8.799640809296834,0.24886278803056663,4.0,-0.7860614169912907,-0.9801370300927345,-11.388071788939435,0.5142619059106218
 0.06440253330541172,5.327108539382334,4.283003085718388,-8.824544658046499,0.25761013322164694,4.000000000000012,-0.5735081810156046,-0.9790124234903287,-8.58875467246127,0.565914854700932
 0.06652513990316472,5.327657748780481,4.2829176437142245,-8.842775205380747,0.26610055961265894,4.0,-0.36330976837886336,-0.9778112088859741,-5.613141687373977,0.6185135026687355
 0.06859079071770584,5.328209301187405,4.282831722880605,-8.854369996079406,0.2743631628708234,4.0,-0.1566212355479085,-0.9765335759653817,-2.49210620319837,0.6718965127020535
 0.07060575799047301,5.328763561588494,4.282745330439703,-8.85939150851911,0.2824230319618921,4.0,0.045464434237972494,-0.9751797264816007,0.7438965891360615,0.7259077090583145
 0.07257550185818473,5.32932089496914,4.2826584736136954,-8.857926222774449,0.29030200743273893,3.999999999999972,0.24192794994545716,-0.9737498742231584,4.065037074562445,0.780396234323561
 0.0745048156819003,5.329881666314731,4.282571159624757,-8.850083490552578,0.2980192627276012,4.0,0.4318336595794396,-0.9722442449803024,7.4423382386848935,0.8352167707911297
 0.07639793915146521,5.330446240610657,4.2824833956950625,-8.835994225364484,0.30559175660586085,4.0,0.6143377991678889,-0.9706630765093435,10.847905049323167,0.8902297949533605
 0.07825864750297284,5.331014982842309,4.282395189046787,-8.815809437842846,0.3130345900118914,4.0,0.7886946534059962,-0.9690066184951128,14.255144932380688,0.9453018413385373
 0.08009032274982085,5.331588257995075,4.282306546902106,-8.789698641729974,0.32036129099928345,4.00000000000003,0.9542608857020392,-0.9672751325115332,17.638970995259072,1.0003057576409748
 0.0818960111780064,5.332166431054347,4.282217476483197,-8.757848155918733,0.3275840447120256,3.9999999999999694,1.1104978932954337,-0.9654688919803135,20.975979635134205,1.0551209375966322
 0.08367847021708615,5.332749867005513,4.282127985012232,-8.720459331414537,0.3347138808683446,4.0,1.2569725241667264,-0.9635881821277721,24.244602237207435,1.109633521617757
 0.08544020699764557,5.333338930833963,4.282038079711387,-8.677746723923214,0.34176082799058227,4.0,1.3933557657566709,-0.9616332999397964,27.425220777783846,1.1637365581173729
 0.08718351033438396,5.333933987525089,4.28194776780284,-8.629936245030517,0.3487340413375358,4.0,1.519420152731857,-0.9596045541149459,30.50025286301655,1.2173301209614127
 0.08891047745944052,5.334535402064278,4.2818570565087635,-8.577263311030174,0.35564190983776206,4.0,1.6350356829581352,-0.9575022650157045,33.45420356582377,1.2703213803221396
 0.09062303652639243,5.33514353943692,4.281765953051333,-8.519971011385868,0.36249214610556973,4.0,1.740164529236257,-0.9553267646178909,36.27368232135519,1.3226246261724448
 0.09232296567874756,5.335758764628407,4.281674464652726,-8.458308321344528,0.36929186271499026,4.0,1.834854764107311,-0.9530783964582376,38.94739047434268,1.3741612447439673
