# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.557381319890846,0.9249526191360088,166.37881295369107,0,3.0,-2.4487137065432982,0.0,0.0,0.0
 0.07241522896391973,6.549736609606083,0.9268050618047943,166.37881295369107,0.2172456868917592,3.0,-2.4487137065432982,0.0,-36.82821038775254,0.0
 0.10234132395713849,6.542149522088102,0.9287987966728986,165.27668843119693,0.3070239718714155,3.0000000000000013,-2.446071012393668,0.0,-47.904892061153035,0.0
 0.12526521353786224,6.534619579376201,0.9309326047212845,164.17852197521057,0.3757956406135867,2.9999999999999987,-2.4404717795886977,0.0,-56.65095262144655,0.0
 0.14456431233290862,6.52714630350968,0.9332052669309153,163.08520964373577,0.4336929369987258,2.9999999999999973,-2.4319680643479944,0.0,-64.032898551593,0.0
 0.16154906861662366,6.5197292165278355,0.9356155642827537,161.99762646769713,0.4846472058498709,3.0,-2.420628189092811,0.0,-70.4523573053719,0.0
 0.1768928248302259,6.512367840469968,0.938162277757763,160.9166226725299,0.5306784744906776,3.0,-2.4065356970184375,0.0,-76.12276230929385,0.0
 0.19099639197095944,6.505061697375373,0.9408441883369059,159.84302018336268,0.5729891759128782,2.9999999999999982,-2.3897881317387633,0.0,-81.17359127027758,0.0
 0.20412148253841142,6.49781030928335,0.9436600770011453,158.77760944625496,0.6123644476152342,3.0000000000000044,-2.3704956713677743,0.0,-85.69062183110053,0.0
 0.21645028622711052,6.490613198233199,0.9466087247314445,157.72114659173675,0.6493508586813315,2.9999999999999956,-2.3487796489305146,0.0,-89.73458357610035,0.0
 0.2281157510888523,6.483469886264218,0.9496889125087664,156.67435096014674,0.6843472532665569,3.000000000000007,-2.3247709918310053,0.0,-93.35088029485216,0.0
 0.23921846330044216,6.476379895415704,0.9528994213140739,155.63790300153443,0.7176553899013265,3.0,-2.29860861285611,0.0,-96.57509267170997,0.0
 0.24983673367204604,6.469342747726957,0.9562390321283302,154.6124425563835,0.7495102010161381,2.9999999999999973,-2.270437784558368,0.0,-99.43628491526647,0.0
 0.260032961741359,6.462357965237274,0.959706525932498,153.59856751702227,0.7800988852240769,2.9999999999999973,-2.240408527117761,0.0,-101.95908135978306,0.0
 0.26985783109150785,6.455425069985955,0.9633006837075402,152.5968328636012,0.8095734932745234,2.9999999999999942,-2.208674036226503,0.0,-104.16501320541123,0.0
 0.2793531766953054,6.448543584012297,0.9670202864344203,151.60775006339168,0.838059530085916,2.9999999999999942,-2.1753891759803206,0.0,-106.07341181800368,0.0
 0.2885540049657273,6.441713029355599,0.9708641150941009,150.63178681719648,0.8656620148971818,3.0,-2.1407090568465743,0.0,-107.7020097318509,0.0
 0.29748995413485185,6.43493292805516,0.9748309506675449,149.6693671328201,0.8924698624045554,3.0,-2.1047877155688055,0.0,-109.06734767611898,0.0
 0.30618637383087277,6.4282028021502775,0.9789195741357157,148.72087170229673,0.9185591214926181,2.999999999999994,-2.067776910340274,0.0,-110.18504999752778,0.0
 0.31466513883014247,6.421522173680251,0.983128766479576,147.78663855693492,0.9439954164904273,3.000000000000013,-2.02982504007841,0.0,-111.07000935318712,0.0
 0.32294527304179943,6.414890564684378,0.9874573086800886,146.86696397260056,0.9688358191253982,3.0,-1.9910761939009483,0.0,-111.73650827057565,0.0
 0.3310434353175901,6.408307497201958,0.991903981718217,145.9621035964952,0.9931303059527703,3.0000000000000067,-1.9516693325297372,0.0,-112.19829662952752,0.0
 0.33897430286991426,6.401772493272287,0.9964675665749239,145.07227376633003,1.0169229086097427,2.999999999999993,-1.9117376018168446,0.0,-112.46863851782564,0.0
 0.3467508776116157,6.395285074934666,1.001146844231172,144.19765299279877,1.0402526328348471,3.000000000000014,-1.8714077742397914,0.0,-112.56033804692599,0.0
 0.35438473364487266,6.388844764228393,1.0059405956679248,143.3383835770938,1.063154200934618,3.0,-1.8307998136658201,0.0,-112.48575108803912,0.0
 0.3618862192353893,6.382451083192765,1.0108476018661452,142.49457333616843,1.0856586577061678,2.9999999999999925,-1.7900265563302726,0.0,-112.2567879892116,0.0
 0.3692646231717416,6.376103553867082,1.0158666438067958,141.66629740978655,1.1077938695152247,3.0000000000000075,-1.7491934987016688,0.0,-111.88491090123266,0.0
 0.37652831295642114,6.369801698290642,1.02099650247084,140.8536001254135,1.1295849388692636,3.000000000000023,-1.7083986839718468,0.0,-111.38112841011109,0.0
 0.38368485049772916,6.3635450385027434,1.0262359588392407,140.0564968985533,1.1510545514931878,3.000000000000023,-1.667732676686319,0.0,-110.7559893511725,0.0
 0.39074108966665805,6.357333096542685,1.0315837938929606,139.27497614830008,1.1722232689999745,3.000000000000008,-1.6272786149135512,0.0,-110.0195771030308,0.0
 0.3977032591128213,6.351165394449764,1.037038788612963,138.50900121011355,1.1931097773384642,3.0,-1.5871123305818846,0.0,-109.18150527845371,0.0
 0.40457703300413117,6.345041454263279,1.042599723980211,137.75851222971662,1.213731099012394,3.000000000000008,-1.547302527265261,0.0,-108.25091536169224,0.0
 0.4113675918007729,6.338960798022531,1.048265380975667,137.02342802416274,1.2341027754023193,3.000000000000008,-1.5079110060181702,0.0,-107.23647655937104,0.0
 0.4180796747488954,6.332922947766815,1.0540345405802947,136.30364789843185,1.2542390242466868,3.0000000000000084,-1.46899293077401,0.0,-106.146388089307,0.0
